что,ингредиенты,сколько ?,сколько по факту нужно ,приблизительная цена,где купить ,"Белки, г","Жиры, г","Углеводы, г",каллорийность (100 г)
Рисовая запеканка с тунцом и помидорами,,,,"518,6",,"8,3","3,9","5,9","94,2"
https://kalkulyator-kaloriy.ru/risovaya-zapekanka-s-tuncom-i-pomidorami/,Рис Вьетнам/Тайланд длинноз.вес,1 шт,5-6 ст . л.,60,Akademshop,,,,
,Томаты Толмачевский ТК Черри красные 250г,250 г,6 шт,170,Akademshop,,,,
,Сыр БЗМЖ Витязь Брюкке 50%,100 г,50 г,"51,6",Akademshop,,,,
,Яйцо Куриное 10шт отборное Яркое Утро,10 шт,1 шт ,77,Akademshop,,,,
,Соль Усольская Экстра 1000г пак ,,по вкусу,-,Akademshop,,,,
,Тунец Gold Fish филе в/м 185г ж/б,185 г,100 г,160,Akademshop,,,,
Куриные ножки с грибами и майонезом,,,,"153,1",,"14,6","14,2","0,9",190
https://kalkulyator-kaloriy.ru/kurinye-nozhki-s-gribami-i-mayonezom/,Голень индейки охл.,200 г,200 г,"48,6",Akademshop,,,,
,Лук Репчатый вес,200 г,1 шт,"7,2",Akademshop,,,,
,Грибы Шампиньоны вес,100 г,100 г,"47,3",Akademshop,,,,
,Соль Усольская Экстра 1000г пак ,,по вкусу,-,Akademshop,,,,
,Майонез Calve Классический 200г пак.доз.,200 г,3 ст. л.,50,Akademshop,,,,
Перловая каша с овощами ,,,,"18133,15",,"3,1","4,1","20,6",132
https://daily-menu.ru/dailymenu/recipes/view/14034,Крупа Перловая Агро Мастер 800г пак,800 г,33 г,35,Akademshop,,,,
,Масло Аннинское подс.раф.дез.0.9 пл/б – 15 мл,,,,Akademshop,,,,
,Вода,,"82,5 г",-,,,,,
,Укроп Алтай Агро 40г,40 г,по вкусу,18,Akademshop,,,,
,"Петрушка «Галерея вкусов» сушеная, 7 г",7 г,1 г ,"7,89",Ярче,,,,
,Лук репчатый вес – 1 шт,100 г,1 шт,"3,6",Akademshop,,,,
,Морковь вес – 1 шт,100 г,33 г,"4,2",Akademshop,,,,
"Салат из свеклы, моркови и чеснока ",,,,"9032,23",,"1,7","2,3","9,9",65
https://daily-menu.ru/dailymenu/recipes/view/68622?servingWeight=222&servingsCount=1,Масло Слобода подс.оливк.1.0 пл/б,,5 г,-,Akademshop,,,,
,Морковь вес ,100 г,60 г,"4,2",Akademshop,,,,
,Соль Усольская Экстра 1000г пак ,,по вкусу,-,Akademshop,,,,
,Свекла вес,200 г,150 г,"8,4",Akademshop,,,,
,Чеснок вес,100 г,"29,7 г","29,7",Akademshop,,,,
Сырники с творогом и рикоттой,,,,482,,"10,3","9,2","19,4",203
https://kalkulyator-kaloriy.ru/syrniki-s-tvorogom-i-rikottoy/,Творог БЗМЖ Простоквашино Классический 5% 220г пл/б,440 г 2 шт,300 г,162,Akademshop,,,,
,Сыр БЗМЖ Bonfesto Рикотта лайт 40% 250г пл/б,250 г,100 г,121,Akademshop,,,,
,Сахар Русский песок 1000г пл/пак,,3 ст. л. ,,Akademshop,,,,
,Яйцо Куриное 10шт отборное Яркое Утро,10 шт,1 шт ,77,Akademshop,,,,
,Соль Усольская Экстра 1000г пак ,,1 щепотка,-,Akademshop,,,,
,Корица Kamis молотая,15 г ,1 щепотка,61,Akademshop,,,,
,Мука Макфа Пшеничная в/с 1000г,1 кг,3 ст. л.,61,Akademshop,,,,
,Масло Аннинское подс.раф.дез.0.9 пл/б – 1 ст. л.,,2 ст. л.,-,Akademshop,,,,
"Салат с авокадо, курицей и помидорами черри",,,,"631,8",,"9,1","8,5","3,3","127,9"
https://kalkulyator-kaloriy.ru/salat-s-avokado-kuricey-i-pomidorami-cherri/,Авокадо – 1 шт,1 шт,1 шт,100,Akademshop,,,,
,Филе грудки куриное Академ.хоз-во к/в вес – 200 г,200 г,200 г,"135,8",Akademshop,,,,
,Томаты Красные вес – 5-7 шт,600 г,5-7 шт,"101,4",Akademshop,,,,
,Шпинат Белая Дача 75 г – 30 г,75 г,30 г,150,Akademshop,,,,
,Соус Bonsai Классический соевый 0.15 ст/б – 30 мл,1 шт,30 мл,93,Akademshop,,,,
